id,branch_th,branch_en,corps_th,corps_en
RTA-CORPS-01,กองทัพบก,Royal Thai Army,เหล่าทหารราบ,Infantry
RTA-CORPS-02,กองทัพบก,Royal Thai Army,เหล่าทหารม้า,Cavalry
RTA-CORPS-03,กองทัพบก,Royal Thai Army,เหล่าทหารปืนใหญ่,Artillery
RTA-CORPS-04,กองทัพบก,Royal Thai Army,เหล่าทหารช่าง,Engineers
RTA-CORPS-05,กองทัพบก,Royal Thai Army,เหล่าทหารสื่อสาร,Signals
RTA-CORPS-06,กองทัพบก,Royal Thai Army,เหล่าทหารการข่าว,Military Intelligence
RTA-CORPS-07,กองทัพบก,Royal Thai Army,เหล่าทหารพลาธิการ,Quartermaster
RTA-CORPS-08,กองทัพบก,Royal Thai Army,เหล่าทหารสรรพาวุธ,Ordnance
RTA-CORPS-09,กองทัพบก,Royal Thai Army,เหล่าทหารขนส่ง,Transport
RTA-CORPS-10,กองทัพบก,Royal Thai Army,เหล่าทหารแพทย์,Medical
RTA-CORPS-11,กองทัพบก,Royal Thai Army,เหล่าทหารการเงิน,Finance
RTA-CORPS-12,กองทัพบก,Royal Thai Army,เหล่าทหารสารบรรณ,Adjutant General
RTA-CORPS-13,กองทัพบก,Royal Thai Army,เหล่าทหารสารวัตร,Military Police
RTA-CORPS-14,กองทัพบก,Royal Thai Army,เหล่าทหารพระธรรมนูญ,Judge Advocate General
RTA-CORPS-15,กองทัพบก,Royal Thai Army,เหล่าทหารการสัตว์,Animal Transport
RTA-CORPS-16,กองทัพบก,Royal Thai Army,เหล่าทหารดุริยางค์,Band
RTA-CORPS-17,กองทัพบก,Royal Thai Army,เหล่าทหารไปรษณีย์,Post
RTN-CORPS-01,กองทัพเรือ,Royal Thai Navy,พรรคนาวิน,Line Group
RTN-CORPS-02,กองทัพเรือ,Royal Thai Navy,พรรคกลิน,Engineering Group
RTN-CORPS-03,กองทัพเรือ,Royal Thai Navy,พรรคนาวิกโยธิน,Marine Corps Group
RTN-CORPS-04,กองทัพเรือ,Royal Thai Navy,พรรคพิเศษ,Special Group
RTN-CORPS-05,กองทัพเรือ,Royal Thai Navy,เหล่าทหารพลาธิการ,Quartermaster Corps
RTN-CORPS-06,กองทัพเรือ,Royal Thai Navy,เหล่าทหารแพทย์,Medical Corps
RTN-CORPS-07,กองทัพเรือ,Royal Thai Navy,เหล่าทหารการเงิน,Finance Corps
RTN-CORPS-08,กองทัพเรือ,Royal Thai Navy,เหล่าทหารพระธรรมนูญ,Judge Advocate General Corps
RTN-CORPS-09,กองทัพเรือ,Royal Thai Navy,เหล่าทหารสารบรรณ,Adjutant General Corps
RTN-CORPS-10,กองทัพเรือ,Royal Thai Navy,เหล่าทหารช่าง,Engineers Corps
RTN-CORPS-11,กองทัพเรือ,Royal Thai Navy,เหล่าทหารสรรพาวุธ,Ordnance Corps
RTN-CORPS-12,กองทัพเรือ,Royal Thai Navy,เหล่าทหารดุริยางค์,Band Corps
RTN-CORPS-13,กองทัพเรือ,Royal Thai Navy,เหล่าทหารสารวัตร,Military Police Corps
RTN-CORPS-14,กองทัพเรือ,Royal Thai Navy,เหล่าทหารขนส่ง,Transport Corps
RTN-CORPS-15,กองทัพเรือ,Royal Thai Navy,เหล่าทหารอุทกศาสตร์,Hydrographic Corps
